,U_BOD_in@Manipulated,U_COD_in@Manipulated,U_NH4_in@Manipulated
0,19.5496855249,293.824594524,2.06488883814
1,21.8275883218,217.916334334,6.60248407021
2,10.8215640069,64.5272352436,2.19219922857
3,29.2653004694,135.749107901,2.43752084684
4,62.477884744,486.030088369,3.50481664044
5,8.11621896454,50.7453853037,1.4504749976
6,363.310172288,407.768485758,4.84599781759
7,37.1805627092,139.685479737,2.17233679094
8,91.9243156642,151.888605496,3.65457159593
9,11.0152783471,57.8091349689,4.06282956245
10,60.5699819195,283.731371894,2.61510529262
11,22.9917417288,268.920739585,2.17404698676
12,21.9683615974,77.0574834426,4.83366234277
13,31.4651461473,43.038418163,3.0038972632
14,4.76942000786,23.5443229802,3.07691063732
15,10.5009984769,21.7892692044,0.544527994839
16,50.8415945698,179.286985605,4.66876217152
17,58.3342069897,234.721438753,8.16417187599
18,18.043930903,30.6101291272,3.19209094095
19,22.6777020998,45.2062016512,3.08898412782
20,45.6684983843,399.039107106,8.1175767328
21,52.5934543944,120.738532934,2.66721011584
22,21.2853009445,42.4164716705,2.41936394196
23,5.98852531992,64.1318808817,2.06879256795
24,2.59869832195,3.02699784545,0.503130141493
25,51.9395116214,254.230792448,4.37888177274
26,64.3458450672,135.238718657,2.64372144519
27,45.1318006162,57.5662734994,1.90290160627
28,48.6568523767,73.86901026,2.27525643837
29,6.98402087787,48.2036455455,1.12303562894
30,179.769608629,565.606148746,5.89131440218
31,16.1885587602,93.815499964,2.38314822048
32,13.422412413,55.9097450768,4.79858539289
33,16.7201469004,47.3291358177,1.71374685632
34,113.351392695,526.416937968,6.18877225057
35,13.1682797096,54.6920906484,2.49108579406
36,13.5574143552,187.730002869,2.17736641102
37,9.36262551868,22.0733693967,1.37130123159
38,29.0985414347,77.5525379049,3.27219369781
39,18.9878296905,159.38353003,4.38994166835
40,1.98626943375,43.1725868977,1.85364935979
41,62.8468837491,262.876269784,7.96746716698
42,40.4840582658,223.664524075,2.99011350583
43,8.19719258312,57.1176497495,2.57163872197
44,21.2072330354,42.6351736158,2.52591592456
45,52.0797280113,302.249339673,3.84578346079
46,8.19024843089,48.2956864724,4.98353786398
47,5.80148252036,82.3796807063,1.14146822633
48,18.519543335,53.7114723936,2.02674407462
49,27.4994745426,84.5267975315,1.89069099447
50,52.0619488627,74.5463027618,4.24187343123
51,19.7588705254,33.5294288449,3.5499610532
52,18.3986017496,54.5236640399,2.18232597391
53,38.3363270748,147.340303275,2.09907865264
54,51.8373420929,75.7033628302,1.33213719233
55,40.4780390296,145.1777745,2.05318772756
56,42.8622776121,55.1990443135,1.18648648434
57,12.45348756,33.2710726988,2.67186108465
58,43.2877601095,103.678738217,6.03774106873
59,73.9776204062,219.536778292,2.37586290053
60,4.40513629633,44.9283414439,2.09285943139
61,16.0227518888,79.4796071819,2.62133620023
62,13.1105336494,90.9534966262,4.35549161584
63,17.0171813694,44.0977343011,2.39778256799
64,79.7771593992,75.1503229109,3.81091836317
65,17.7722446299,106.015694024,3.13656449526
66,12.1259782671,19.4241923642,2.81561623295
67,8.80073228428,39.4559067033,2.3629197617
68,47.0234693104,168.446080826,11.0792034079
69,6.02683264608,21.1832137573,2.14547077484
70,39.7293440022,561.276666335,7.6492780234
71,43.8583002341,78.9494076431,2.34974633898
72,34.1808217776,265.497948139,3.15147390315
73,156.462124423,189.889412293,2.98373538248
74,24.6239834888,111.771601439,6.93371332511
75,55.5431013658,540.755820534,1.7561124695
76,22.3814164257,122.503360566,4.28159085389
77,72.4901452795,136.694458177,13.364337014
78,64.007874463,110.774412811,1.81380649443
79,55.0134079949,71.2481433682,4.04624633529
80,19.981732637,126.039734738,2.1260689071
81,42.0582144973,204.980376129,6.18977048668
82,13.5133046643,62.9254355579,1.61374097343
83,20.2471603435,209.972203707,2.45107247615
84,40.1195336634,227.559134655,3.96691028464
85,36.5585587675,163.20720653,3.41230442976
86,16.5770902429,116.534448249,5.32667789508
87,14.4712810369,84.8487994052,4.16207826929
88,60.9749971116,112.42609323,2.10842529402
89,27.3083505744,125.974491912,2.2002028329
90,43.7023923509,39.2536491507,1.64123981358
91,193.123560499,974.786443231,2.83770815367
92,176.511321766,154.914763756,4.7270019687
93,17.9785764872,61.6732610384,5.17458920307
94,36.2644174647,93.0807345424,3.21166209705
95,8.97602517372,78.0778605609,2.02788463779
96,8.7384553409,48.735053454,1.40305833519
97,31.1375050819,91.6849317968,2.07716128298
98,21.0136702204,423.013960366,3.45895345901
99,43.4451559326,109.564322448,2.66742486162
100,7.62621467992,23.7331991724,1.9931543489
101,11.8165832197,59.9460897882,1.9537329359
102,46.3137524274,67.686203803,3.68760142562
103,15.8142227732,109.077554601,6.11630961791
104,40.4680744615,89.5258598274,3.34923528662
105,15.0705672668,96.0803113858,3.73742826206
106,11.3695549966,55.2977176492,2.73439980449
107,30.1034541955,63.0251755411,2.19004195513
108,93.5220269936,110.989306816,1.39575245386
109,143.519238011,452.524256958,3.41559433861
110,11.9238443034,147.1354574,4.05086067835
111,44.8731355303,88.1007334209,2.13275752735
112,56.7843478492,63.6998748355,5.83869703877
113,9.83333697007,47.3090426054,2.5958015686
114,24.187083575,97.9750683836,3.80108599145
115,19.2074184731,220.493506541,1.52511078197
116,36.6764056121,69.0902392776,1.1269026427
117,102.998291552,228.125012766,5.23163719277
118,138.775760718,763.153015397,2.85412453063
119,2.00379114109,17.2753264185,0.970981275161
120,30.3881231529,69.5502426067,1.82041857066
121,3.90827043029,46.7219923591,1.32799113423
122,4.96916232276,55.6306306603,1.38062920019
123,18.4222079009,76.9802732229,4.35677951774
124,92.870910124,469.465799552,4.29688362744
125,4.62919358016,44.8548745817,1.61207828781
126,33.9045721517,145.195394789,5.25289804288
127,61.227265457,113.056106291,4.98620501011
128,18.9173463495,77.4856154925,4.57322042336
129,20.7753246126,90.6335004754,3.13155731097
130,64.0002365881,132.994068635,2.49755269641
131,341.913910719,415.536041133,6.47832614803
132,26.8130734254,62.4440308364,2.56125232569
133,25.9635190158,91.9135205631,2.08464427371
134,32.0521916087,38.2174266535,5.02693724244
135,66.2736102535,508.49103252,3.1477222663
136,84.0910644791,68.5291340567,4.96746216336
137,42.1846949589,128.220969005,2.55089270618
138,38.5929763581,152.109369639,4.57919439618
139,24.7631916839,47.2247027312,1.83169253625
140,31.9785748948,81.6754021023,3.04978624732
141,40.1201634746,171.254400225,1.55151924098
142,23.7916965013,66.9356334342,2.53392241553
143,17.841487461,56.8977239745,3.20433494796
144,11.882984838,86.3223581729,3.12289065956
145,31.7899532109,209.765011225,3.82268317414
146,37.0203676513,124.083954231,3.63772875625
147,26.1662664886,191.645312953,2.19248432397
148,46.1102383219,365.26315057,8.00521296321
149,16.0963948753,115.922137311,2.1929054594
150,17.349266294,79.141154741,5.68473288048
151,21.2545471345,122.587981102,2.29681435326
152,11.4228349651,40.6750211385,3.21939265414
153,33.8817729879,141.962117741,5.16937529844
154,39.1034426075,209.488533365,2.04555027635
155,35.2039172261,194.880168497,1.52180778457
156,20.5967194111,41.5197738236,2.37963080185
157,14.8647496259,79.2795118562,3.34730154392
158,12.4288002727,75.02405687,3.20767282541
159,271.754438659,460.985784518,4.67214489977
160,8.99894969561,69.1542866744,2.55807593327
161,147.816231113,187.337416242,5.18188853408
162,8.12966849679,114.065653713,2.3875083753
163,27.1568371277,66.0871336274,2.31914010784
164,26.0776430056,184.882553032,2.7845425042
165,60.3993201048,290.386953652,2.25193493357
166,41.3752112968,88.4664986636,1.85352221553
167,40.8591137191,396.6329181,3.27026872659
168,34.4743389039,94.1339369985,1.67306209484
169,17.7476252963,90.8886801338,7.18613177073
170,88.0820361742,111.417294715,5.31083081385
171,79.2258133932,167.369935611,2.75490133284
172,33.0567713847,134.851631209,3.30372950278
173,35.7424983099,129.026869614,4.28199732177
174,37.1980858998,216.785913158,2.44477334976
175,49.0045680873,116.239228619,3.25337175044
176,8.50002301178,32.5882828213,3.02666809011
177,11.3295788123,93.970705472,4.21255913436
178,137.797031996,246.445406957,2.57530141682
179,14.1365805949,287.591305973,3.75774852
180,16.0317447224,66.6721769959,3.82877596641
181,17.61338067,55.7885658597,1.79411311361
182,27.6457306851,73.7679030174,3.34806393074
183,4.02035026173,20.7398828862,1.3032363745
184,84.6459524836,176.15972135,2.88806723755
