#.t	Rural_baseflow
#d	m/d
0	0.002320635
0.0416667	0.00231258
0.0833333	0.002274554
0.125	0.002267976
0.1666667	0.002250639
0.2083333	0.002220888
0.25	0.002216507
0.2916667	0.002197302
0.3333333	0.002204218
0.375	0.002199669
0.4166667	0.002210927
0.4583333	0.002218384
0.5	0.002258365
0.5416667	0.002282904
0.5833333	0.002294377
0.625	0.002360405
0.6666667	0.002405393
0.7083333	0.002427959
0.75	0.002442714
0.7916667	0.00245342
0.8333333	0.002482043
0.875	0.002502534
0.9166667	0.002513909
0.9583333	0.002524206
1	0.002560516
1.0416667	0.002756073
1.0833333	0.003017479
1.125	0.003151105
1.1666667	0.003243037
1.2083333	0.003354397
1.25	0.003436804
1.2916667	0.003532624
1.3333333	0.003617757
1.375	0.003638678
1.4166667	0.00363859
1.4583333	0.003637123
1.5	0.00363948
1.5416667	0.003599991
1.5833333	0.003546946
1.625	0.003375238
1.6666667	0.003328577
1.7083333	0.003361697
1.75	0.003353042
1.7916667	0.003309341
1.8333333	0.003262709
1.875	0.003200583
1.9166667	0.003126633
1.9583333	0.003057252
2	0.003003861
2.0416667	0.002968209
2.0833333	0.002913986
2.125	0.002857916
2.1666667	0.002808224
2.2083333	0.002771616
2.25	0.002697364
2.2916667	0.002656641
2.3333333	0.002624144
2.375	0.002573535
2.4166667	0.002566559
2.4583333	0.002547666
2.5	0.002519791
2.5416667	0.002499283
2.5833333	0.00247195
2.625	0.002451368
2.6666667	0.002454977
2.7083333	0.002453611
2.75	0.002552841
2.7916667	0.002734389
2.8333333	0.002787903
2.875	0.002807477
2.9166667	0.00286266
2.9583333	0.002906297
3	0.002907226
3.0416667	0.002900585
3.0833333	0.00289663
3.125	0.002868124
3.1666667	0.002844622
3.2083333	0.002808816
3.25	0.00279786
3.2916667	0.00277611
3.3333333	0.00273715
3.375	0.002709688
3.4166667	0.002680711
3.4583333	0.002644352
3.5	0.002620277
3.5416667	0.002597596
3.5833333	0.002562977
3.625	0.002524694
3.6666667	0.002494805
3.7083333	0.002442484
3.75	0.002427143
3.7916667	0.002398635
3.8333333	0.002374589
3.875	0.00233834
3.9166667	0.002316409
3.9583333	0.002324875
4	0.002319405
4.0416667	0.002346131
4.0833333	0.002410636
4.125	0.002498634
4.1666667	0.002598153
4.2083333	0.002758458
4.25	0.002948019
4.2916667	0.003062788
4.3333333	0.003175775
4.375	0.003590471
4.4166667	0.004132164
4.4583333	0.004574707
4.5	0.004913579
4.5416667	0.00515157
4.5833333	0.005305292
4.625	0.005314089
4.6666667	0.005268825
4.7083333	0.005179504
4.75	0.005084793
4.7916667	0.004997775
4.8333333	0.004860085
4.875	0.004773426
4.9166667	0.004665681
4.9583333	0.004563742
5	0.004460412
5.0416667	0.004389594
5.0833333	0.004339583
5.125	0.004298106
5.1666667	0.004260867
5.2083333	0.0042123
5.25	0.004175847
5.2916667	0.004130753
5.3333333	0.00406132
5.375	0.003997135
5.4166667	0.003919482
5.4583333	0.003882828
5.5	0.003845786
5.5416667	0.003748345
5.5833333	0.003657858
5.625	0.003603044
5.6666667	0.003495404
5.7083333	0.003267194
5.75	0.003232633
5.7916667	0.00322826
5.8333333	0.003212561
5.875	0.003170541
5.9166667	0.003132136
5.9583333	0.00310363
6	0.003059024
6.0416667	0.002995413
6.0833333	0.00295591
6.125	0.002931738
6.1666667	0.002908161
6.2083333	0.002873399
6.25	0.002844214
6.2916667	0.002826077
6.3333333	0.002817671
6.375	0.002833675
6.4166667	0.00289247
6.4583333	0.002951259
6.5	0.003015234
6.5416667	0.003052004
6.5833333	0.003063576
6.625	0.003077563
6.6666667	0.003066192
6.7083333	0.003053718
6.75	0.003028312
6.7916667	0.002993318
6.8333333	0.002967855
6.875	0.002931449
6.9166667	0.002895992
6.9583333	0.002857477
7	0.002815158
7.0416667	0.002786412
7.0833333	0.002752235
7.125	0.002720375
7.1666667	0.002677765
7.2083333	0.002656592
7.25	0.002623629
7.2916667	0.002618911
7.3333333	0.002587442
7.375	0.00255387
7.4166667	0.00254839
7.4583333	0.002529015
7.5	0.002506683
7.5416667	0.002471981
7.5833333	0.00245751
7.625	0.002435263
7.6666667	0.002400459
7.7083333	0.002378217
7.75	0.0023703
7.7916667	0.002363625
7.8333333	0.002338825
7.875	0.00231442
7.9166667	0.002285669
7.9583333	0.002274748
8	0.002253165
8.0416667	0.002237417
8.0833333	0.002209932
8.125	0.00218647
8.1666667	0.002178584
8.2083333	0.002161145
8.25	0.002114381
8.2916667	0.002117833
8.3333333	0.002111452
8.375	0.002103826
8.4166667	0.002089914
8.4583333	0.002080153
8.5	0.002128811
8.5416667	0.002183497
8.5833333	0.002147707
8.625	0.002096358
8.6666667	0.001897017
8.7083333	0.002064602
8.75	0.002021172
8.7916667	0.002030149
8.8333333	0.002085538
8.875	0.002087033
8.9166667	0.002078977
8.9583333	0.002071892
9	0.002072454
9.0416667	0.002073241
9.0833333	0.002064444
9.125	0.00205714
9.1666667	0.002042138
9.2083333	0.002040858
9.25	0.002029424
9.2916667	0.00202338
9.3333333	0.002008016
9.375	0.002006969
9.4166667	0.002003191
9.4583333	0.001996821
9.5	0.001985218
9.5416667	0.001936559
9.5833333	0.001930821
9.625	0.001908075
9.6666667	0.001903243
9.7083333	0.001902113
9.75	0.001913102
9.7916667	0.001917039
9.8333333	0.001909731
9.875	0.001917582
9.9166667	0.001912217
9.9583333	0.001928048
10	0.00190996
10.0416667	0.001908131
10.0833333	0.0019027
10.125	0.00190109
10.1666667	0.00189416
10.2083333	0.001880297
10.25	0.001865939
10.2916667	0.00187266
10.3333333	0.001867033
10.375	0.001854484
10.4166667	0.001826295
10.4583333	0.001831227
10.5	0.001817158
10.5416667	0.001817958
10.5833333	0.001824226
10.625	0.001816129
10.6666667	0.001817811
10.7083333	0.001807434
10.75	0.001805495
10.7916667	0.001797332
10.8333333	0.001763015
10.875	0.001771216
10.9166667	0.001766978
10.9583333	0.001770805
11	0.001763215
11.0416667	0.001764741
11.0833333	0.001765
11.125	0.001768501
11.1666667	0.001754181
11.2083333	0.001757802
11.25	0.001761687
11.2916667	0.001750013
11.3333333	0.001749817
11.375	0.001746826
11.4166667	0.001745947
11.4583333	0.001719257
11.5	0.001680787
11.5416667	0.001695147
11.5833333	0.00177599
11.625	0.001742209
11.6666667	0.001692984
11.7083333	0.001702849
11.75	0.001738549
11.7916667	0.001738091
11.8333333	0.001750398
11.875	0.001750723
11.9166667	0.001744844
11.9583333	0.001752738
12	0.001745762
12.0416667	0.001754204
12.0833333	0.00175322
12.125	0.001747788
12.1666667	0.001748105
12.2083333	0.001738684
12.25	0.001743053
12.2916667	0.00172156
12.3333333	0.001715492
12.375	0.001702082
12.4166667	0.001699723
12.4583333	0.001695607
12.5	0.001682308
12.5416667	0.001661609
12.5833333	0.00165412
12.625	0.001635973
12.6666667	0.001642408
12.7083333	0.001651654
12.75	0.00167221
12.7916667	0.001671973
12.8333333	0.00166192
12.875	0.001642122
12.9166667	0.001619128
12.9583333	0.001634069
13	0.001628692
13.0416667	0.001625559
13.0833333	0.001625729
13.125	0.001617296
13.1666667	0.00160547
13.2083333	0.001601495
13.25	0.00160866
13.2916667	0.001598698
13.3333333	0.00159062
13.375	0.001584201
13.4166667	0.001585292
13.4583333	0.001583488
13.5	0.00157514
13.5416667	0.001566778
13.5833333	0.001553223
13.625	0.001543504
13.6666667	0.001540483
13.7083333	0.001544421
13.75	0.001544405
13.7916667	0.001539602
13.8333333	0.001540566
13.875	0.00154928
13.9166667	0.00155473
13.9583333	0.001553487
14	0.001554917
14.0416667	0.001554639
14.0833333	0.001556646
14.125	0.00155812
14.1666667	0.001549512
14.2083333	0.001541016
14.25	0.001538109
14.2916667	0.00153337
14.3333333	0.001533782
14.375	0.001527713
14.4166667	0.001516935
14.4583333	0.001506861
14.5	0.001490975
14.5416667	0.00148919
14.5833333	0.00147999
14.625	0.001484018
14.6666667	0.001484072
14.7083333	0.001484187
14.75	0.001491876
14.7916667	0.001499809
14.8333333	0.001501774
14.875	0.0014911
14.9166667	0.001494154
14.9583333	0.001493337
15	0.001496201
15.0416667	0.001493374
15.0833333	0.001379733
15.125	0.00137698
15.1666667	0.001378121
15.2083333	0.001377017
15.25	0.001366866
15.2916667	0.001355571
15.3333333	0.001348385
15.375	0.00134722
15.4166667	0.001345345
15.4583333	0.001330429
15.5	0.001307904
15.5416667	0.001306254
15.5833333	0.001296659
15.625	0.001291992
15.6666667	0.001284382
15.7083333	0.001256182
15.75	0.001248354
15.7916667	0.001271329
15.8333333	0.001293699
15.875	0.001316162
15.9166667	0.00135669
15.9583333	0.001368793
16	0.001361351
16.0416667	0.001352085
16.0833333	0.001346671
16.125	0.00133968
16.1666667	0.001327329
16.2083333	0.001310417
16.25	0.001311019
16.2916667	0.001311821
16.3333333	0.00130403
16.375	0.001295265
16.4166667	0.001309074
16.4583333	0.00129923
16.5	0.001285171
16.5416667	0.001254648
16.5833333	0.001223126
16.625	0.001204705
16.6666667	0.001182207
16.7083333	0.001213897
16.75	0.001223067
16.7916667	0.001210187
16.8333333	0.001213975
16.875	0.001223114
16.9166667	0.001220497
16.9583333	0.001227203
17	0.001238991
17.0416667	0.001236827
17.0833333	0.001233983
17.125	0.001236639
17.1666667	0.00123727
17.2083333	0.001241288
17.25	0.001228081
17.2916667	0.001223941
17.3333333	0.001215755
17.375	0.001215315
17.4166667	0.001209148
17.4583333	0.001203943
17.5	0.001216115
17.5416667	0.00119828
17.5833333	0.00119057
17.625	0.001184684
17.6666667	0.001191226
17.7083333	0.001187791
17.75	0.00118599
17.7916667	0.001192768
17.8333333	0.001195892
17.875	0.001206527
17.9166667	0.001213169
17.9583333	0.001222499
18	0.001240903
18.0416667	0.001261811
18.0833333	0.001286182
18.125	0.001308017
18.1666667	0.00131804
18.2083333	0.001330705
18.25	0.001356326
18.2916667	0.001411635
18.3333333	0.001431539
18.375	0.001463985
18.4166667	0.001526594
18.4583333	0.001622685
18.5	0.001790742
18.5416667	0.002093351
18.5833333	0.002563103
18.625	0.002927509
18.6666667	0.003238886
18.7083333	0.0035078
18.75	0.00369227
18.7916667	0.003795744
18.8333333	0.003820905
18.875	0.003806592
18.9166667	0.003762802
18.9583333	0.003702825
19	0.003620404
19.0416667	0.003560057
19.0833333	0.00351026
19.125	0.003456444
19.1666667	0.003425553
19.2083333	0.003384597
19.25	0.003336216
19.2916667	0.003260717
19.3333333	0.003175387
19.375	0.003095346
19.4166667	0.003045843
19.4583333	0.003002358
19.5	0.003006864
19.5416667	0.002984196
19.5833333	0.002965895
19.625	0.002928883
19.6666667	0.002884755
19.7083333	0.002858661
19.75	0.002832279
19.7916667	0.002813217
19.8333333	0.002771172
19.875	0.002714052
19.9166667	0.00269258
19.9583333	0.002673678
20	0.002630181
20.0416667	0.002585328
20.0833333	0.002538549
20.125	0.002483066
20.1666667	0.002468336
20.2083333	0.002446774
20.25	0.002464606
20.2916667	0.002474644
20.3333333	0.002482262
20.375	0.002493576
20.4166667	0.002483315
20.4583333	0.002492976
20.5	0.002512168
20.5416667	0.002539622
20.5833333	0.002581175
20.625	0.002604689
20.6666667	0.002655836
20.7083333	0.00273747
20.75	0.002827244
20.7916667	0.002896266
20.8333333	0.0029447
20.875	0.002996689
20.9166667	0.00302588
20.9583333	0.003045749
21	0.003059683
21.0416667	0.003055321
21.0833333	0.003033514
21.125	0.002997238
21.1666667	0.002972254
21.2083333	0.002932723
21.25	0.002877963
21.2916667	0.002830357
21.3333333	0.002787628
21.375	0.002739868
21.4166667	0.002701459
21.4583333	0.002647904
21.5	0.002635954
21.5416667	0.002595636
21.5833333	0.002575268
21.625	0.002540447
21.6666667	0.002519134
21.7083333	0.00247335
21.75	0.002465329
21.7916667	0.002439177
21.8333333	0.002414334
21.875	0.002388944
21.9166667	0.002361869
21.9583333	0.002345116
22	0.002304626
22.0416667	0.002266005
22.0833333	0.002250673
22.125	0.002236204
22.1666667	0.002213075
22.2083333	0.002145944
22.25	0.002160237
22.2916667	0.002140672
22.3333333	0.002112952
22.375	0.002099928
22.4166667	0.002087491
22.4583333	0.002071967
22.5	0.002055719
22.5416667	0.002009658
22.5833333	0.001982552
22.625	0.001931656
22.6666667	0.001827944
22.7083333	0.001888349
22.75	0.00194528
22.7916667	0.001998919
22.8333333	0.002021027
22.875	0.002030267
22.9166667	0.001989868
22.9583333	0.001978548
23	0.001991045
23.0416667	0.00199825
23.0833333	0.002009553
23.125	0.002015382
23.1666667	0.002019832
23.2083333	0.002029905
23.25	0.00202877
23.2916667	0.002009302
23.3333333	0.001986696
23.375	0.001983071
23.4166667	0.001967297
23.4583333	0.001962769
23.5	0.001931271
23.5416667	0.00191842
23.5833333	0.001828581
23.625	0.001804217
23.6666667	0.001804027
23.7083333	0.001783139
23.75	0.001782184
23.7916667	0.001775627
23.8333333	0.001781452
23.875	0.001763765
23.9166667	0.001756989
23.9583333	0.001748022
24	0.001753786
24.0416667	0.001749595
24.0833333	0.001738807
24.125	0.001732067
24.1666667	0.001724143
24.2083333	0.001724636
24.25	0.001711748
24.2916667	0.001702203
24.3333333	0.001690224
24.375	0.001694958
24.4166667	0.001688398
24.4583333	0.001680952
24.5	0.001664605
24.5416667	0.001641878
24.5833333	0.001651459
24.625	0.001664663
24.6666667	0.001650756
24.7083333	0.00155373
24.75	0.001475163
24.7916667	0.001565853
24.8333333	0.001574204
24.875	0.001573779
24.9166667	0.001566616
24.9583333	0.001569217
25	0.001560824
25.0416667	0.001560298
25.0833333	0.001542312
25.125	0.001528071
25.1666667	0.001522539
25.2083333	0.001510376
25.25	0.001504746
25.2916667	0.001500881
25.3333333	0.001500207
25.375	0.001494548
25.4166667	0.001499594
25.4583333	0.00147611
25.5	0.001533427
25.5416667	0.001477783
25.5833333	0.001525172
25.625	0.001517209
25.6666667	0.001529603
25.7083333	0.001529349
25.75	0.001522663
25.7916667	0.001538754
25.8333333	0.001555438
25.875	0.001567081
25.9166667	0.001602199
25.9583333	0.001614986
26	0.001638866
26.0416667	0.001662595
26.0833333	0.001666016
26.125	0.001660785
26.1666667	0.001654952
26.2083333	0.001662722
26.25	0.001657793
26.2916667	0.001652113
26.3333333	0.001641393
26.375	0.00163358
26.4166667	0.001628069
26.4583333	0.001611523
26.5	0.001587383
26.5416667	0.00156607
26.5833333	0.001557605
26.625	0.001549601
26.6666667	0.001546849
26.7083333	0.001543426
26.75	0.001538728
26.7916667	0.001540813
26.8333333	0.001531416
26.875	0.001522646
26.9166667	0.001525514
26.9583333	0.001514825
27	0.001509223
27.0416667	0.001506027
27.0833333	0.001492629
27.125	0.001490151
27.1666667	0.001485238
27.2083333	0.001478552
27.25	0.00147936
27.2916667	0.001481654
27.3333333	0.001478946
27.375	0.001476719
27.4166667	0.001487065
27.4583333	0.001493709
27.5	0.001498056
27.5416667	0.001482673
27.5833333	0.001473937
27.625	0.001472049
27.6666667	0.001470524
27.7083333	0.001482991
27.75	0.001495818
27.7916667	0.001484881
27.8333333	0.001487383
27.875	0.001489207
27.9166667	0.00148635
27.9583333	0.001487264
28	0.001479353
28.0416667	0.001448363
28.0833333	0.001444864
28.125	0.001446688
28.1666667	0.00143064
28.2083333	0.001423647
28.25	0.001409554
28.2916667	0.001389668
28.3333333	0.001390194
28.375	0.001388585
28.4166667	0.001384192
28.4583333	0.001381267
28.5	0.001377007
28.5416667	0.001362713
28.5833333	0.001366515
28.625	0.001360821
28.6666667	0.001358692
28.7083333	0.001348877
28.75	0.001348654
28.7916667	0.001348186
28.8333333	0.001355198
28.875	0.001344465
28.9166667	0.001338955
28.9583333	0.001331208
29	0.001340127
29.0416667	0.001339296
29.0833333	0.001332507
29.125	0.001327845
29.1666667	0.001329199
29.2083333	0.001322053
29.25	0.001327034
29.2916667	0.001317207
29.3333333	0.001318339
29.375	0.001313057
29.4166667	0.001311551
29.4583333	0.00131169
29.5	0.001305961
29.5416667	0.001302748
29.5833333	0.001291333
29.625	0.001289518
29.6666667	0.001307017
29.7083333	0.00133981
29.75	0.001339621
29.7916667	0.00134331
29.8333333	0.001349878
29.875	0.001349097
29.9166667	0.001357838
29.9583333	0.001352525
30	0.001361227
30.0416667	0.001354755
30.0833333	0.001350548
30.125	0.001358018
30.1666667	0.00135607
30.2083333	0.001353797
30.25	0.001336633
30.2916667	0.001334706
30.3333333	0.001335152
30.375	0.001336049
30.4166667	0.001333562
30.4583333	0.00132256
30.5	0.001311434
30.5416667	0.001303418
30.5833333	0.001305823
30.625	0.001300818
30.6666667	0.001299509
30.7083333	0.001306085
30.75	0.001313801
30.7916667	0.001319176
30.8333333	0.001317395
30.875	0.001307158
30.9166667	0.00130094
30.9583333	0.001297598
31	0.001305196
31.0416667	0.001303241
31.0833333	0.001295042
31.125	0.00128882
31.1666667	0.001279144
31.2083333	0.001262313
31.25	0.001262556
31.2916667	0.001247784
31.3333333	0.001245152
31.375	0.00123474
31.4166667	0.001212279
31.4583333	0.001201565
31.5	0.001198129
31.5416667	0.00118964
31.5833333	0.00117442
31.625	0.001155028
31.6666667	0.001157445
31.7083333	0.001177075
31.75	0.001199621
31.7916667	0.00118096
31.8333333	0.001164439
31.875	0.001157785
31.9166667	0.001157538
31.9583333	0.001146278
32	0.001117142
32.0416667	0.001102095
32.0833333	0.001108273
32.125	0.001110379
32.1666667	0.001116782
32.2083333	0.001108106
32.25	0.001107356
32.2916667	0.001096085
32.3333333	0.001078402
32.375	0.001055001
32.4166667	0.001065376
32.4583333	0.001087815
32.5	0.001121362
32.5416667	0.00114163
32.5833333	0.001174819
32.625	0.001140898
32.6666667	0.001135577
32.7083333	0.001137873
32.75	0.001117171
32.7916667	0.001097539
32.8333333	0.001080803
32.875	0.001070906
32.9166667	0.001063716
32.9583333	0.001060157
33	0.001041706
33.0416667	0.000990803
33.0833333	0.000986968
33.125	0.000985136
33.1666667	0.000976869
33.2083333	0.000963914
33.25	0.00095666
33.2916667	0.000948467
33.3333333	0.000943935
33.375	0.000931788
33.4166667	0.000936478
33.4583333	0.000955213
33.5	0.000977521
33.5416667	0.000997898
33.5833333	0.001009715
33.625	0.001001048
33.6666667	0.000985707
33.7083333	0.000977421
33.75	0.000976362
33.7916667	0.000962237
33.8333333	0.000960307
33.875	0.000961355
33.9166667	0.00096096
33.9583333	0.000952484
34	0.000951597
34.0416667	0.000948752
34.0833333	0.000943714
34.125	0.000932913
34.1666667	0.000932172
34.2083333	0.000968804
34.25	0.000956462
34.2916667	0.000946236
34.3333333	0.000942293
34.375	0.000931499
34.4166667	0.000936816
34.4583333	0.000937121
34.5	0.000945676
34.5416667	0.00097178
34.5833333	0.00098723
34.625	0.001006012
34.6666667	0.001006871
34.7083333	0.00096282
34.75	0.000965514
34.7916667	0.000966225
34.8333333	0.000964295
34.875	0.000964016
34.9166667	0.00095803
34.9583333	0.000953456
35	0.00095758
35.0416667	0.000935021
35.0833333	0.00092238
35.125	0.000916119
35.1666667	0.000909059
35.2083333	0.000910212
35.25	0.000918116
35.2916667	0.000910226
35.3333333	0.00092284
35.375	0.000916863
35.4166667	0.000920581
35.4583333	0.000916877
35.5	0.000918372
35.5416667	0.000910437
35.5833333	0.000904734
35.625	0.000905908
35.6666667	0.00091686
35.7083333	0.000923088
35.75	0.000938834
35.7916667	0.000934367
35.8333333	0.000927508
35.875	0.000925739
35.9166667	0.000927827
35.9583333	0.000930133
36	0.000931736
36.0416667	0.000948975
36.0833333	0.000946975
36.125	0.000949733
36.1666667	0.000948791
36.2083333	0.000941481
36.25	0.000949347
36.2916667	0.000945108
36.3333333	0.000888657
36.375	0.000886934
36.4166667	0.000882489
36.4583333	0.000883706
36.5	0.000892289
36.5416667	0.000902396
36.5833333	0.000893494
36.625	0.000884406
36.6666667	0.000891383
36.7083333	0.000891201
36.75	0.000882697
36.7916667	0.000878508
36.8333333	0.00087597
36.875	0.000873066
36.9166667	0.000863721
36.9583333	0.000861184
37	0.000859321
37.0416667	0.000851971
37.0833333	0.000848426
37.125	0.000845581
37.1666667	0.000848498
37.2083333	0.000839383
37.25	0.000829716
37.2916667	0.000821466
37.3333333	0.000814536
37.375	0.000803936
37.4166667	0.000808578
37.4583333	0.000800998
37.5	0.000815706
37.5416667	0.00081275
37.5833333	0.000816947
37.625	0.000828555
37.6666667	0.000827653
37.7083333	0.000828464
37.75	0.000823902
37.7916667	0.000817297
37.8333333	0.000805622
37.875	0.000814221
37.9166667	0.000811613
37.9583333	0.000807095
38	0.000810811
38.0416667	0.000818552
38.0833333	0.000819454
38.125	0.000818893
38.1666667	0.000821387
38.2083333	0.000820729
38.25	0.00081656
38.2916667	0.000817709
38.3333333	0.000820602
38.375	0.000818539
38.4166667	0.000813419
38.4583333	0.000812575
38.5	0.000813541
38.5416667	0.000809242
38.5833333	0.000814134
38.625	0.00081106
38.6666667	0.000822553
38.7083333	0.000821666
38.75	0.00082039
38.7916667	0.000819248
38.8333333	0.000817411
38.875	0.000816631
38.9166667	0.00082252
38.9583333	0.000829635
39	0.000828235
39.0416667	0.000828416
39.0833333	0.000828337
39.125	0.000825673
39.1666667	0.000820517
39.2083333	0.000818995
39.25	0.000816179
39.2916667	0.000809621
39.3333333	0.000816173
39.375	0.000814928
39.4166667	0.000814571
39.4583333	0.000817187
39.5	0.00081342
39.5416667	0.000825078
39.5833333	0.00081068
39.625	0.00081402
39.6666667	0.000818653
39.7083333	0.000814255
39.75	0.000813166
39.7916667	0.000816375
39.8333333	0.00081589
39.875	0.000814204
39.9166667	0.000817094
39.9583333	0.000818051
40	0.000810393
40.0416667	0.00082351
40.0833333	0.000820183
40.125	0.000816464
40.1666667	0.000817424
40.2083333	0.000813014
40.25	0.000810703
40.2916667	0.00080336
40.3333333	0.000805212
40.375	0.000799574
40.4166667	0.000786845
40.4583333	0.000793684
40.5	0.000791032
40.5416667	0.000789961
40.5833333	0.000795284
40.625	0.00079379
40.6666667	0.000791083
40.7083333	0.00078412
40.75	0.000789231
40.7916667	0.000794234
40.8333333	0.000788228
40.875	0.000798646
40.9166667	0.000796533
40.9583333	0.000794214
41	0.000804331
41.0416667	0.00080121
41.0833333	0.000797371
41.125	0.000800517
41.1666667	0.000791041
41.2083333	0.000781041
41.25	0.000784182
41.2916667	0.000769366
41.3333333	0.000762944
41.375	0.000756193
41.4166667	0.000749965
41.4583333	0.000749896
41.5	0.000742169
41.5416667	0.000760462
41.5833333	0.000754922
41.625	0.000768499
41.6666667	0.0007615
41.7083333	0.000757996
41.75	0.000765001
41.7916667	0.000761943
41.8333333	0.000759958
41.875	0.00076325
41.9166667	0.000761649
41.9583333	0.000772595
42	0.000768632
42.0416667	0.000784176
42.0833333	0.000780809
