#.t	inp_Ein005
#d	m/d
0.0	0.0
0.0104167	0.0
0.0208333	0.0
0.03125	0.0
0.0416667	0.0
0.0520833	0.0
0.0625	0.0
0.0729167	0.0
0.0833333	0.0
0.09375	0.0
0.1041667	0.0
0.1145833	0.0
0.125	0.0
0.1354167	0.0
0.1458333	0.0
0.15625	0.0
0.1666667	0.0
0.1770833	0.0
0.1875	0.0
0.1979167	0.0
0.2083333	0.0
0.21875	0.0
0.2291667	0.0
0.2395833	0.0
0.25	0.0
0.2604167	0.0
0.2708333	0.0
0.28125	0.0
0.2916667	0.0
0.3020833	0.0
0.3125	0.0
0.3229167	0.0
0.3333333	0.0
0.34375	0.0
0.3541667	0.0
0.3645833	0.0
0.375	0.0
0.3854167	0.0
0.3958333	0.0
0.40625	0.0
0.4166667	0.0
0.4270833	0.0
0.4375	0.0
0.4479167	0.0
0.4583333	0.0
0.46875	0.0
0.4791667	0.0
0.4895833	0.0
0.5	0.0
0.5104167	0.0
0.5208333	0.0
0.53125	0.0
0.5416667	0.0
0.5520833	0.0
0.5625	0.0
0.5729167	0.0
0.5833333	0.0
0.59375	0.0
0.6041667	0.0
0.6145833	0.0
0.625	0.0
0.6354167	0.0
0.6458333	0.0
0.65625	0.0
0.6666667	0.0
0.6770833	0.0
0.6875	0.0
0.6979167	0.0
0.7083333	0.0
0.71875	0.0
0.7291667	0.0
0.7395833	0.0
0.75	0.0
0.7604167	0.0
0.7708333	0.0
0.78125	0.0
0.7916667	0.0
0.8020833	0.0
0.8125	0.0
0.8229167	0.0
0.8333333	0.0
0.84375	0.0
0.8541667	0.0
0.8645833	0.0
0.875	0.0
0.8854167	0.0
0.8958333	0.0
0.90625	0.0
0.9166667	0.0
0.9270833	0.0
0.9375	0.0
0.9479167	0.0
0.9583333	0.0
0.96875	0.0
0.9791667	0.0
0.9895833	0.0
1.0	0.0
1.0104167	16848.0
1.0208333	21600.0
1.03125	20563.2
1.0416667	18748.8
1.0520833	14342.4
1.0625	9504.0
1.0729167	4147.2
1.0833333	518.4
1.09375	0.0
1.1041667	0.0
1.1145833	0.0
1.125	0.0
1.1354167	0.0
1.1458333	0.0
1.15625	0.0
1.1666667	0.0
1.1770833	0.0
1.1875	0.0
1.1979167	0.0
1.2083333	0.0
1.21875	0.0
1.2291667	0.0
1.2395833	0.0
1.25	0.0
1.2604167	0.0
1.2708333	0.0
1.28125	0.0
1.2916667	0.0
1.3020833	0.0
1.3125	0.0
1.3229167	0.0
1.3333333	0.0
1.34375	0.0
1.3541667	0.0
1.3645833	0.0
1.375	0.0
1.3854167	0.0
1.3958333	0.0
1.40625	0.0
1.4166667	0.0
1.4270833	0.0
1.4375	0.0
1.4479167	0.0
1.4583333	0.0
1.46875	0.0
1.4791667	0.0
1.4895833	0.0
1.5	0.0
1.5104167	0.0
1.5208333	0.0
1.53125	0.0
1.5416667	0.0
1.5520833	0.0
1.5625	0.0
1.5729167	0.0
1.5833333	0.0
1.59375	0.0
1.6041667	0.0
1.6145833	0.0
1.625	0.0
1.6354167	0.0
1.6458333	0.0
1.65625	0.0
1.6666667	0.0
1.6770833	0.0
1.6875	0.0
1.6979167	0.0
1.7083333	0.0
1.71875	0.0
1.7291667	0.0
1.7395833	0.0
1.75	0.0
1.7604167	0.0
1.7708333	0.0
1.78125	0.0
1.7916667	0.0
1.8020833	0.0
1.8125	0.0
1.8229167	0.0
1.8333333	0.0
1.84375	0.0
1.8541667	0.0
1.8645833	0.0
1.875	0.0
1.8854167	0.0
1.8958333	0.0
1.90625	0.0
1.9166667	0.0
1.9270833	0.0
1.9375	0.0
1.9479167	0.0
1.9583333	0.0
1.96875	0.0
1.9791667	0.0
1.9895833	0.0
2.0	0.0
2.0104167	0.0
2.0208333	0.0
2.03125	0.0
2.0416667	0.0
2.0520833	0.0
2.0625	0.0
2.0729167	0.0
2.0833333	0.0
2.09375	0.0
2.1041667	0.0
2.1145833	0.0
2.125	0.0
2.1354167	0.0
2.1458333	0.0
2.15625	0.0
2.1666667	0.0
2.1770833	0.0
2.1875	0.0
2.1979167	0.0
2.2083333	0.0
2.21875	0.0
2.2291667	0.0
2.2395833	0.0
2.25	0.0
2.2604167	0.0
2.2708333	0.0
2.28125	0.0
2.2916667	0.0
2.3020833	0.0
2.3125	0.0
2.3229167	0.0
2.3333333	0.0
2.34375	0.0
2.3541667	0.0
2.3645833	0.0
2.375	0.0
2.3854167	0.0
2.3958333	0.0
2.40625	0.0
2.4166667	0.0
2.4270833	0.0
2.4375	0.0
2.4479167	0.0
2.4583333	0.0
2.46875	0.0
2.4791667	0.0
2.4895833	0.0
2.5	0.0
2.5104167	0.0
2.5208333	0.0
2.53125	0.0
2.5416667	0.0
2.5520833	0.0
2.5625	0.0
2.5729167	0.0
2.5833333	0.0
2.59375	0.0
2.6041667	0.0
2.6145833	0.0
2.625	0.0
2.6354167	0.0
2.6458333	0.0
2.65625	0.0
2.6666667	0.0
2.6770833	0.0
2.6875	0.0
2.6979167	0.0
2.7083333	0.0
2.71875	0.0
2.7291667	10368.0
2.7395833	43113.6
2.75	39225.6
2.7604167	33523.2
2.7708333	28080.0
2.78125	22118.4
2.7916667	16588.8
2.8020833	10886.4
2.8125	4579.2
2.8229167	432.0
2.8333333	0.0
2.84375	0.0
2.8541667	0.0
2.8645833	0.0
2.875	0.0
2.8854167	0.0
2.8958333	0.0
2.90625	0.0
2.9166667	0.0
2.9270833	0.0
2.9375	0.0
2.9479167	0.0
2.9583333	0.0
2.96875	0.0
2.9791667	0.0
2.9895833	0.0
3.0	0.0
3.0104167	0.0
3.0208333	0.0
3.03125	0.0
3.0416667	0.0
3.0520833	0.0
3.0625	0.0
3.0729167	0.0
3.0833333	0.0
3.09375	0.0
3.1041667	0.0
3.1145833	0.0
3.125	0.0
3.1354167	0.0
3.1458333	0.0
3.15625	0.0
3.1666667	0.0
3.1770833	0.0
3.1875	0.0
3.1979167	0.0
3.2083333	0.0
3.21875	0.0
3.2291667	0.0
3.2395833	0.0
3.25	0.0
3.2604167	0.0
3.2708333	0.0
3.28125	0.0
3.2916667	0.0
3.3020833	0.0
3.3125	0.0
3.3229167	0.0
3.3333333	0.0
3.34375	0.0
3.3541667	0.0
3.3645833	0.0
3.375	0.0
3.3854167	0.0
3.3958333	0.0
3.40625	0.0
3.4166667	0.0
3.4270833	0.0
3.4375	0.0
3.4479167	0.0
3.4583333	0.0
3.46875	0.0
3.4791667	0.0
3.4895833	0.0
