#.t	.in_6
#d	W/m2
0.0	0.0
0.0416667	0.0
0.0833333	0.0
0.125	0.0
0.1666667	0.0
0.2083333	0.0
0.25	0.0
0.2916667	0.0
0.3333333	8.33333
0.375	30.55556
0.4166667	30.55556
0.4583333	41.66667
0.5	61.11111
0.5416667	44.44444
0.5833333	22.22222
0.625	0.0
0.6666667	0.0
0.7083333	0.0
0.75	0.0
0.7916667	0.0
0.8333333	0.0
0.875	0.0
0.9166667	0.0
0.9583333	0.0
1.0	0.0
1.0416667	0.0
1.0833333	0.0
1.125	0.0
1.1666667	0.0
1.2083333	0.0
1.25	0.0
1.2916667	0.0
1.3333333	22.22222
1.375	88.88889
1.4166667	119.44444
1.4583333	105.55556
1.5	127.77778
1.5416667	102.77778
1.5833333	27.77778
1.625	5.55556
1.6666667	0.0
1.7083333	0.0
1.75	0.0
1.7916667	0.0
1.8333333	0.0
1.875	0.0
1.9166667	0.0
1.9583333	0.0
2.0	0.0
2.0416667	0.0
2.0833333	0.0
2.125	0.0
2.1666667	0.0
2.2083333	0.0
2.25	0.0
2.2916667	0.0
2.3333333	2.77778
2.375	11.11111
2.4166667	33.33333
2.4583333	63.88889
2.5	69.44444
2.5416667	22.22222
2.5833333	11.11111
2.625	0.0
2.6666667	0.0
2.7083333	0.0
2.75	0.0
2.7916667	0.0
2.8333333	0.0
2.875	0.0
2.9166667	0.0
2.9583333	0.0
3.0	0.0
3.0416667	0.0
3.0833333	0.0
3.125	0.0
3.1666667	0.0
3.2083333	0.0
3.25	0.0
3.2916667	0.0
3.3333333	22.22222
3.375	58.33333
3.4166667	86.11111
3.4583333	91.66667
3.5	91.66667
3.5416667	88.88889
3.5833333	33.33333
3.625	2.77778
3.6666667	0.0
3.7083333	0.0
3.75	0.0
3.7916667	0.0
3.8333333	0.0
3.875	0.0
3.9166667	0.0
3.9583333	0.0
4.0	0.0
4.0416667	0.0
4.0833333	0.0
4.125	0.0
4.1666667	0.0
4.2083333	0.0
4.25	0.0
4.2916667	0.0
4.3333333	8.33333
4.375	41.66667
4.4166667	125.0
4.4583333	166.66667
4.5	105.55556
4.5416667	44.44444
4.5833333	19.44444
4.625	2.77778
4.6666667	0.0
4.7083333	0.0
4.75	0.0
4.7916667	0.0
4.8333333	0.0
4.875	0.0
4.9166667	0.0
4.9583333	0.0
5.0	0.0
5.0416667	0.0
5.0833333	0.0
5.125	0.0
5.1666667	0.0
5.2083333	0.0
5.25	0.0
5.2916667	0.0
5.3333333	22.22222
5.375	47.22222
5.4166667	125.0
5.4583333	100.0
5.5	144.44444
5.5416667	111.11111
5.5833333	36.11111
5.625	5.55556
5.6666667	0.0
5.7083333	0.0
5.75	0.0
5.7916667	0.0
5.8333333	0.0
5.875	0.0
5.9166667	0.0
5.9583333	0.0
6.0	0.0
6.0416667	0.0
6.0833333	0.0
6.125	0.0
6.1666667	0.0
6.2083333	0.0
6.25	0.0
6.2916667	0.0
6.3333333	13.88889
6.375	69.44444
6.4166667	175.0
6.4583333	158.33333
6.5	116.66667
6.5416667	72.22222
6.5833333	22.22222
6.625	2.77778
6.6666667	0.0
6.7083333	0.0
6.75	0.0
6.7916667	0.0
6.8333333	0.0
6.875	0.0
6.9166667	0.0
6.9583333	0.0
7.0	0.0
7.0416667	0.0
7.0833333	0.0
7.125	0.0
7.1666667	0.0
7.2083333	0.0
7.25	0.0
7.2916667	0.0
7.3333333	30.55556
7.375	97.22222
7.4166667	161.11111
7.4583333	63.88889
7.5	63.88889
7.5416667	69.44444
7.5833333	41.66667
7.625	8.33333
7.6666667	0.0
7.7083333	0.0
7.75	0.0
7.7916667	0.0
7.8333333	0.0
7.875	0.0
7.9166667	0.0
7.9583333	0.0
8.0	0.0
8.0416667	0.0
8.0833333	0.0
