#.t	.in_5
#d	degC
0.0	7.4
0.0416667	7.4
0.0833333	7.5
0.125	7.6
0.1666667	7.7
0.2083333	7.8
0.25	7.9
0.2916667	7.9
0.3333333	8.0
0.375	8.0
0.4166667	8.0
0.4583333	8.0
0.5	8.0
0.5416667	8.0
0.5833333	8.1
0.625	8.2
0.6666667	8.2
0.7083333	8.3
0.75	8.3
0.7916667	8.4
0.8333333	8.5
0.875	8.6
0.9166667	8.9
0.9583333	9.1
1.0	9.2
1.0416667	9.2
1.0833333	9.2
1.125	9.2
1.1666667	9.3
1.2083333	9.3
1.25	9.4
1.2916667	9.3
1.3333333	9.3
1.375	9.3
1.4166667	9.3
1.4583333	9.4
1.5	9.5
1.5416667	9.6
1.5833333	9.7
1.625	9.7
1.6666667	9.7
1.7083333	9.6
1.75	9.6
1.7916667	9.5
1.8333333	9.4
1.875	9.3
1.9166667	9.2
1.9583333	9.1
2.0	9.1
2.0416667	9.0
2.0833333	8.9
2.125	8.8
2.1666667	8.7
2.2083333	8.5
2.25	8.4
2.2916667	8.3
2.3333333	8.2
2.375	8.1
2.4166667	8.0
2.4583333	7.9
2.5	7.9
2.5416667	7.8
2.5833333	7.8
2.625	7.8
2.6666667	7.8
2.7083333	7.8
2.75	7.7
2.7916667	7.7
2.8333333	7.6
2.875	7.6
2.9166667	7.6
2.9583333	7.6
3.0	7.6
3.0416667	7.5
3.0833333	7.4
3.125	7.4
3.1666667	7.4
3.2083333	7.6
3.25	7.7
3.2916667	7.8
3.3333333	7.9
3.375	7.9
3.4166667	7.8
3.4583333	7.8
3.5	7.8
3.5416667	7.7
3.5833333	7.7
3.625	7.6
3.6666667	7.5
3.7083333	7.4
3.75	7.3
3.7916667	7.2
3.8333333	7.2
3.875	7.2
3.9166667	7.2
3.9583333	7.2
4.0	7.2
4.0416667	7.2
4.0833333	7.1
4.125	7.1
4.1666667	7.1
4.2083333	7.1
4.25	7.1
4.2916667	7.2
4.3333333	7.2
4.375	7.2
4.4166667	7.2
4.4583333	7.3
4.5	7.5
4.5416667	7.7
4.5833333	7.8
4.625	7.9
4.6666667	7.9
4.7083333	7.9
4.75	7.9
4.7916667	7.8
4.8333333	7.8
4.875	7.7
4.9166667	7.6
4.9583333	7.5
5.0	7.5
5.0416667	7.4
5.0833333	7.3
5.125	7.2
5.1666667	7.1
5.2083333	7.0
5.25	6.9
5.2916667	6.9
5.3333333	6.9
5.375	6.8
5.4166667	6.7
5.4583333	6.7
5.5	6.7
5.5416667	6.7
5.5833333	6.8
5.625	6.8
5.6666667	6.7
5.7083333	6.7
5.75	6.6
