#.t	.River_1.Q	.River_1.d	.River_1.vel_water	.River_2.Q	.River_2.d	.River_2.vel_water	.River_3.Q	.River_3.d	.River_3.vel_water	.River_4.Q	.River_4.d	.River_4.vel_water	.River_5.Q	.River_5.d	.River_5.vel_water
#d	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s	m3/s	m	m/s
0	0.59282134	0.36865487	0.15789613	0.59768633	0.37048991	0.15838916	0.60420158	0.3729384	0.15904539	0.60952035	0.3749297	0.15957771	0.61087622	0.37543625	0.15971294
0.01	0.75343896	0.42649723	0.17296011	0.6058433	0.37355357	0.15920993	0.60380723	0.37279049	0.1590058	0.60893007	0.37470904	0.15951879	0.6107012	0.37537089	0.15969549
0.02	0.90701561	0.47747013	0.18549976	0.6300139	0.38253694	0.16159961	0.60521511	0.37331834	0.15914704	0.60844584	0.37452796	0.15947041	0.61048618	0.37529058	0.15967406
0.03	1.0502993	0.52213463	0.19600287	0.66791119	0.39635943	0.16522981	0.60976689	0.37502165	0.15960223	0.60831907	0.37448054	0.15945775	0.61025956	0.37520592	0.15965146
0.04	1.1817069	0.5611277	0.20484545	0.71734748	0.41395717	0.16977507	0.61840029	0.37823931	0.16045977	0.60887838	0.37468971	0.15951362	0.61007566	0.37513722	0.15963312
0.05	1.2992221	0.59457021	0.21219463	0.77684447	0.4345127	0.17497547	0.63212971	0.3833199	0.16180726	0.61058864	0.37532883	0.15968426	0.61003171	0.37512079	0.15962874
0.06	1.4036153	0.62333914	0.21836355	0.84383904	0.45695521	0.18053174	0.65126501	0.39033074	0.16365415	0.61384319	0.37654313	0.16000813	0.61024997	0.37520234	0.1596505
0.07	1.4956719	0.6480374	0.22355079	0.91642963	0.48051274	0.18623402	0.67616088	0.39933405	0.16600492	0.61910084	0.37849952	0.16052896	0.61089356	0.37544272	0.15971466
0.08	1.5762906	0.6691967	0.22791891	0.99268136	0.50450375	0.19191312	0.70687069	0.41026717	0.16882898	0.6267666	0.38134064	0.16128328	0.61214692	0.37591058	0.15983948
0.09	1.6428493	0.68636217	0.23141375	1.0705739	0.52830198	0.19742723	0.74321323	0.42297504	0.17207092	0.63721008	0.38519004	0.1623015	0.61421684	0.37668245	0.16004527
0.1	1.6987565	0.70056813	0.23427203	1.1481006	0.5513113	0.20264553	0.78517743	0.43734155	0.1756824	0.65095485	0.39021758	0.16362443	0.61739764	0.37786651	0.16036057
0.11	1.7471264	0.71272263	0.23669582	1.2239634	0.57327825	0.20753649	0.83184916	0.45298422	0.17955654	0.66805827	0.39641707	0.16524566	0.62186074	0.37952388	0.16080119
0.12	1.7879875	0.72288444	0.23870538	1.2968668	0.59386884	0.21203547	0.88305183	0.46973134	0.18363305	0.68912292	0.40396069	0.16720213	0.62802719	0.38180537	0.16140622
0.13	1.8235453	0.73166917	0.24043335	1.366938	0.6133243	0.21623133	0.93711233	0.48708939	0.18780273	0.7132525	0.4125143	0.16940503	0.63565219	0.38461684	0.16215007
0.14	1.8531689	0.73893251	0.24185329	1.4325465	0.63116346	0.22001705	0.99421996	0.50497562	0.19202277	0.74156861	0.42239935	0.17192396	0.64549017	0.38822363	0.16310063
0.15	1.8784829	0.74510462	0.24305442	1.4937903	0.64754068	0.22344777	1.0532216	0.52305452	0.19622056	0.77360214	0.43341325	0.17470095	0.65754058	0.39261368	0.16425264
0.16	1.8998831	0.75029702	0.24406086	1.5501528	0.66237954	0.22651855	1.1133199	0.54105844	0.20033203	0.80945461	0.44552427	0.17771699	0.67217018	0.39789958	0.16563193
0.17	1.9177	0.75460424	0.24489325	1.6021835	0.67590904	0.22929111	1.1737189	0.55880817	0.20432793	0.84850133	0.4584996	0.18091104	0.68924376	0.40401718	0.16721912
0.18	1.9308984	0.75778457	0.24550622	1.64913	0.68796634	0.23173785	1.2336678	0.5760665	0.20815362	0.890859	0.47230613	0.18426337	0.70922576	0.41109978	0.16904302
0.19	1.9420961	0.76047637	0.24602401	1.6913519	0.69869978	0.23389823	1.2924556	0.59268292	0.21178622	0.93597518	0.4867371	0.18772031	0.73208729	0.41910889	0.17108891
0.2	1.9515511	0.76274462	0.2464596	1.7290815	0.70820421	0.23579733	1.3495212	0.60853487	0.21520608	0.98346372	0.50163678	0.19124013	0.75790104	0.42803506	0.17334848
0.21	1.9591103	0.76455534	0.2468069	1.7630413	0.71669746	0.23748457	1.4045533	0.62360171	0.2184205	1.0326544	0.51680673	0.19477909	0.78639556	0.43776483	0.17578989
0.22	1.9620355	0.76525527	0.24694103	1.792654	0.72404992	0.23893664	1.4568846	0.6377102	0.22139476	1.0832833	0.53211926	0.19830061	0.8178885	0.44835478	0.17841864
